"Analisa Skill","Tgl Assigned","Assignee","AssigneeGroupLeaderID","Attachment","AttachmentDone","PIC","Butuh Attachment","Butuh Eskalasi ke BRISolutions","Call Type ID","Call Type","Case Number","Charge Fee","Close Date","CountAgeAttachmentNull","Create Date (Legacy)","Current GIC","Customer Feedback","Date re-check","Description","Email Assignee","Email Kabag","Email Supervisor","Email Wakabag","Escalated Date","Fitur","FlagAutoClosedTicketAttachment","Formulir Detail","Forwad Date","Gateway","GIC","Handling Time","Hasil Kunjungan","Hasil Penelitian","Tgl In Progress","IsAttachmentDone?","Jenis Produk","Jenis CallType","Jenis Produk 1 LKPBU","Jenis Produk 2 LKPBU","Jenis Transaksi LKPBU","JP LKPBU 2","Kabag Login ID","Kategori Permasalahan LKPBU","KIP Date","> 40  Hari Kerja","Legacy Ticket ID","Level","Max 20 HK","Max 40 HK","Merchant ID","Nama Kabag","Nama Supervisor","Nama Wakabag","Nominal","Notes","Notify By","Case Origin","Case Owner","Penyebab Pengaduan 2 LKPBU","Penyebab Pengaduan LKPBU","Phone Survey","Pickup Date","PP LKPBU 2","re-check dokument","RecordTypeId","Returned","Search Call Type","Site User","SLA Status","Status","Status LKPBU","Sub Type","Submitter Login ID","SupervisorLoginId","SuppliedName","Tanggal","TanggalAttachmentDone","TID","Tiket Urgency","Top Call Type","Type","SuppliedPhone","SuppliedEmail","User","User Group","User Login Name","User re-check","Usergroup ID","Wakabag Login Id","Social Persona","DATE IN","KIP NAME"
"nearly","2022-11-17 00:09:50.951436","Agent Sosmed 1","56329972","no","wife","Sean Watkins","season","gun","34404605","yourself","43518","46031","2022-06-29","too","2022-06-21","large","77638","2023-04-03","Course between instead this one alone challenge style.","gregory98@example.org","patricia08@example.org","youngbrianna@example.org","owenskelly@example.net","2023-01-27","clearly","environment","6063 Rebecca Cliffs
Port Katherine, NJ 01878","2023-07-10","PPID","develop","2023-06-07 02:28:51.738524","mention","pull","2021-02-22 08:48:46.135077","seek","very","Banking","Congress","range","book","seek","44966352","dog","2022-05-05","green","34646157","Agent","when","keep","63470565","wife","east","southern","44832","Firm which others write seem never door.","None","face","material","understand","arrive","+1-813-211-2203x269","2023-09-12","order","attorney","gun","personal","operation","yorr","Missed","Assignee","current","nearly","23529930","mission","Tiffany Schmidt","road","pick","88044433","director","meeting","Update ReOpen","673.676.5030","calhouncraig@example.net","Call","qshelton","Rick Brown","jacob17","53399415","continue","audience","ten","toward"
"begin","2020-02-19 04:42:26.519272","Agent Sosmed 4","12687513","Republican","budget","Erica Kelley","look","which","54213298","represent","79235","16539","2023-07-24","plant","2022-05-27","measure","350","2022-12-29","Skill left age within sport eye difference collection your clearly positive.","rojasjustin@example.org","michael15@example.com","shanegriffith@example.net","hwilson@example.com","2023-05-20","want","fact","USNS Nguyen
FPO AE 39306","2023-07-14","Media Cetak","clearly","2020-12-14 02:54:25.453140","husband","quite","2022-12-17 08:24:24.138759","century","around","Banking","season","kitchen","Democrat","always","58675445","glass","2022-05-16","radio","96973089","Supervisor","administration","beat","67206141","try","treatment","bag","19522","Station natural if life always main should.","Email","true","end","Congress","receive","001-822-824-1453x839","2023-04-22","them","factor","their","husband","happen","qmurillo","Met","Assignee","most","note","64869478","ask","Kevin Andrade","today","lawyer","11085261","month","treat","Update ReOpen","001-684-529-8353x193","shawdana@example.com","Call","michaelwarner","Tammy Roberts","miguel02","28640044","threat","throw","run","every"
"rate","2023-08-07 19:58:16.974881","Agent Sosmed 1","40722093","us","character","Taylor Mitchell","write","group","51105148","simple","19313","90617","2024-03-17","simple","2022-11-20","science","9917","2023-02-20","Technology notice animal southern data blue.","wilsonteresa@example.net","paulrocha@example.net","terrytrujillo@example.org","johnbradley@example.org","2023-07-13","military","establish","67399 Arnold Park Apt. 319
Lake Terri, HI 28268","2023-10-20","Walk In","forget","2022-08-15 11:35:45.613263","reason","outside","2023-04-26 11:32:39.774979","claim","but","Kartu Kredit","year","seat","throw","share","95976943","interesting","2022-08-09","event","70286063","Wakabag","late","kid","37473229","product","indeed","computer","52290","Capital manager out why wall share year thought real.","Email","call","social","product","those","001-552-804-6526","2022-08-11","prepare","less","team","live","west","dchristensen","In Progress","Return","American","international","47829765","find","William Huff","national","never","4424763","spring","else","Incident","384.891.1020","samantha22@example.net","Non call","pamela79","Michael Gonzales","rubensmith","44846547","race","act","writer","body"
"end","2023-06-03 02:00:11.796345","RPA Sosial Media","6181593","better","mean","Jorge Barrett","huge","truth","65054380","walk","84554","49350","2023-01-03","sometimes","2022-10-01","concern","65653","2024-02-06","Position ahead subject able according ago enter source method.","lopezmatthew@example.org","brandonmedina@example.com","jonathon55@example.net","jessica36@example.org","2022-08-22","have","push","145 Alexander Square
Palmerberg, AR 39208","2022-11-12","PKSS Oten","off","2022-12-30 11:44:43.695947","fact","power","2023-03-26 19:05:36.680774","price","fast","Kartu Kredit","again","unit","somebody","but","33959763","major","2022-06-17","morning","33171310","Wakabag","article","our","49675986","property","dinner","catch","47073","Beautiful tend artist alone energy class beautiful.","None","because","parent","throughout","four","903-391-3802x07770","2022-04-29","according","oil","religious","result","book","staffordkatie","Missed","Cancel","not","research","49957785","commercial","Richard Norton","poor","deal","69325343","data","to","Case Closed","5998108681","ataylor@example.net","Non call","marymiller","Jessica Diaz","brodriguez","19522456","sometimes","make","modern","foreign"
"involve","2023-02-10 01:33:45.853774","RPA Sosial Media","98403962","simple","food","Nicholas Reed","study","today","71228962","individual","80631","27919","2023-10-17","set","2023-06-09","push","82939","2022-05-28","Difference address sport card necessary have base center increase into shoulder six same.","melissa65@example.net","jallen@example.com","james18@example.net","rodriguezwilliam@example.net","2023-03-21","industry","camera","05238 Boyd Corner
Benjamintown, MO 27771","2023-08-09","OJK","position","2021-05-20 04:03:08.096856","enough","accept","2023-05-24 16:55:00.165395","national","recently","Kartu Kredit","trip","break","north","trade","25448656","cell","2022-12-09","agree","68532391","Admin (CRS)","why","for","98637930","sound","today","whom","82483","Throughout building blue class kid take project listen fund yes.","None","none","available","those","material","776-876-2531x7851","2022-04-30","must","mother","you","serve","would","whitney25","Missed","Not Used","leave","along","34938400","those","Peter Hunter","station","charge","6013038","boy","worry","Incident","437-781-1027","swyatt@example.com","Non call","mcintyretraci","Lori Henry","shannonpotter","57514179","realize","rich","happy","deep"
"on","2022-11-11 20:02:54.877208","Nama Pekerja + PN dari tiap GIC (User Group)","74097586","must","hand","Wendy Edwards","over","nice","66548435","PM","94037","7622","2022-04-11","believe","2022-07-10","reason","56030","2024-01-30","Always since indeed single owner water.","romeropeter@example.com","dunnamanda@example.net","pcurtis@example.com","jaredthompson@example.com","2023-04-01","response","within","27840 Michele Mission Apt. 951
Paultown, NE 44486","2022-08-17","Email","economy","2020-03-31 11:12:00.598924","thousand","paper","2020-07-18 16:34:56.806949","mission","financial","Kartu Kredit","single","live","laugh","far","38291179","large","2022-04-05","off","58892141","Admin BRICare","know","front","58518626","us","beat","more","76379","She public per win use half smile drop.","Email","success","alone","simple","edge","+1-585-558-1386x65642","2022-11-10","simply","work","onto","general","happy","holmeskevin","In Progress","Closed","trouble","modern","38539871","strong","George Rodriguez","behind","prove","57242794","effort","year","Return Ticket","+1-981-264-1468x27920","towens@example.com","Non call","christopherdavidson","David Osborne","hailey94","54099359","take","up","science","by"
"others","2024-01-10 12:54:50.231135","Agent Sosmed 2","15746072","pass","foreign","Jennifer Hernandez","research","middle","9400706","actually","32399","7408","2022-06-01","occur","2022-10-23","box","35668","2023-05-09","Fear move matter response apply go on of.","donnahowell@example.org","william92@example.org","uwalters@example.net","bowersmichele@example.net","2022-06-15","product","fall","49424 Shane Locks Apt. 039
Gregoryfort, MP 77147","2023-04-20","Media Cetak","pass","2022-12-10 00:40:45.900116","expect","grow","2023-03-13 11:53:47.041263","have","guy","Kartu Kredit","computer","nor","fast","myself","70122050","fish","2023-09-11","night","59106789","Supervisor","fish","way","57815517","individual","camera","significant","9663","Seven special down since fear whom civil.","None","probably","control","tax","us","(510)408-1006x2452","2022-12-13","small","east","pick","stuff","east","mward","In Progress","Cancel","fund","mission","89561553","table","Emily Delacruz","father","development","86978071","exist","PM","Escalation Ticket","+1-720-792-8488","diana91@example.com","Call","twhite","Jessica Hampton","patrickjoseph","27835411","letter","realize","pretty","radio"
"program","2023-08-09 14:32:11.744672","Agent Sosmed 4","17513266","economic","friend","Brooke Maxwell","lawyer","ever","43700977","speech","85069","36450","2023-01-07","report","2024-02-01","away","87789","2022-05-07","Not better example generation hour way far soon word popular process debate.","jessica53@example.net","timothy63@example.org","ayu@example.net","malvarado@example.org","2023-03-18","maybe","his","905 Paula Island Suite 919
Justinton, IN 73670","2024-03-19","Instagram","real","2024-02-05 12:34:06.199458","garden","visit","2020-07-31 15:02:28.536551","store","might","Banking","reduce","former","such","matter","77376285","writer","2023-12-15","just","68183072","Admin (CRS)","boy","reduce","88989285","above","see","movement","59416","Toward natural raise seem task person free.","Email","land","word","be","out","905.644.4434x4056","2023-11-21","strategy","early","toward","serious","lawyer","fredbanks","Met","In Progress","reach","boy","97732406","large","Jeffery Fox","apply","pick","52612956","respond","glass","Update ReOpen","+1-845-299-9220x34694","tho@example.com","Call","bradleytammy","Katherine Palmer","juliejackson","5808242","try","face","hospital","read"
"do","2022-07-27 17:26:47.504952","Agent Sosmed 4","1632457","law","part","Lori Ramos","box","where","78804424","without","66231","60251","2022-06-16","fight","2023-08-22","we","95260","2022-08-12","Natural drive million receive she traditional just writer environmental interview true.","jose87@example.net","kknox@example.org","sheliaschneider@example.net","patricia50@example.com","2022-07-15","again","meeting","USCGC Lee
FPO AP 47364","2023-01-16","Media Konsumen","sound","2020-08-12 08:39:19.772924","party","wonder","2021-06-10 09:17:54.534674","particularly","pick","Kartu Kredit","quickly","impact","century","between","83030580","authority","2023-11-29","face","64794719","Wakabag","late","design","79630698","individual","name","perhaps","84238","Find field task people poor film.","Email","perhaps","race","artist","window","001-822-330-5201","2022-12-25","car","actually","conference","field","thought","julie93","Missed","Assignee","TV","thank","4557992","our","Elizabeth Garcia","clearly","us","7049656","debate","task","Kembali ke Submitter","351-503-0717","wbowen@example.net","Non call","marypayne","Joseph Perry","pmitchell","64801322","point","start","whatever","prevent"
"common","2023-05-12 11:38:46.761801","Agent Sosmed 5","53705994","oil","good","Lisa Nielsen","and","blue","26816656","offer","40342","25430","2023-04-12","low","2022-09-06","drug","38827","2023-11-10","Simple player PM official beat weight.","sgonzalez@example.com","leslie42@example.org","moralessteven@example.net","wilsongregory@example.com","2023-07-02","seem","yourself","8124 Amanda Mission Suite 743
Tammyhaven, GA 47978","2023-08-14","SP4N LAPOR","major","2021-07-03 14:23:01.062925","space","table","2023-07-15 13:43:12.937511","bad","institution","Banking","contain","Republican","behavior","end","44184830","represent","2022-11-14","tree","53510496","Team Leader","southern","kitchen","48355425","avoid","current","difference","5386","Kid around buy positive history character other officer generation how better despite soldier country.","Email","perform","amount","class","several","513.978.2422x251","2023-02-16","short","yeah","out","tell","nearly","brittanysalinas","In Progress","Closed","fight","note","75699464","when","Andrew Hendrix","peace","against","87740166","begin","fly","Problem","(812)860-5355x313","cookbailey@example.net","Call","steven36","Joel Donaldson","xbrown","92767012","appear","left","western","health"
"something","2021-02-25 19:37:23.800993","Agent Sosmed 4","82765918","citizen","pass","Jordan Nelson","speech","long","39551950","test","40975","70488","2022-07-09","truth","2022-05-01","car","57336","2022-12-28","Peace radio yet response I want water more he particular.","cody84@example.com","benjamin68@example.org","shawphillip@example.net","christinahensley@example.net","2022-04-17","important","situation","Unit 2979 Box 5049
DPO AE 53906","2023-10-19","Media Konsumen","analysis","2020-09-09 10:04:35.826660","or","rather","2020-05-15 01:51:11.551767","site","tough","Kartu Kredit","statement","part","note","game","19556855","trial","2023-12-30","simple","3080694","Admin BRICare","garden","employee","20374603","music","always","as","58245","Top concern rather piece exactly set.","Email","long","country","blue","black","001-200-571-1800x831","2024-01-23","policy","political","site","challenge","my","carmen23","Missed","Assignee","use","shoulder","75889244","work","Kiara Weaver","dark","look","49092354","job","meeting","Update Status Draft New","001-395-921-9808x845","nicholasrowland@example.net","Call","wgeorge","Willie Shields","nholland","39799677","draw","clear","join","so"
"as","2020-07-26 21:41:22.835774","RPA Sosial Media","29896463","impact","meeting","Paul Wells","entire","animal","78943183","bar","71217","89201","2022-11-09","free","2023-12-18","chance","92723","2022-12-28","Kind building last court foreign general physical what collection.","fmoody@example.org","tabithacontreras@example.org","khunt@example.org","dongilbert@example.org","2022-11-09","or","hold","029 Arellano Wells Apt. 782
Thomasmouth, NV 73818","2022-04-25","Phne","will","2020-01-22 14:56:49.009926","myself","find","2023-12-18 03:00:15.348472","nor","discuss","Kartu Kredit","color","military","daughter","front","77764197","direction","2023-02-18","religious","25582042","Kabag","investment","future","54750104","pretty","less","husband","85566","Onto move do can finally if.","Email","let","week","level","rate","506-521-6829x556","2022-09-03","interview","series","successful","various","actually","johncuevas","Met","Cancel","right","ready","28476079","ball","Katelyn Rodriguez","treat","return","34421550","particularly","whose","Update Status Draft New","+1-912-469-2458x84748","atkinsonthomas@example.org","Non call","stevensapril","Daniel Rojas","zachary95","98541738","free","by","together","return"
"remain","2021-09-21 07:52:13.554116","Nama Pekerja + PN dari tiap GIC (User Group)","16630713","step","American","Kenneth Dominguez","pick","near","33178882","plant","72198","67309","2023-01-29","its","2022-06-17","world","37354","2023-05-01","Design woman president front business himself eight memory.","swalker@example.net","zacharymartin@example.org","grossfrank@example.org","matthew41@example.org","2023-04-02","animal","Congress","8800 Johnson Mount
Port Nathanberg, AL 37713","2023-06-20","SP4N LAPOR","good","2020-06-15 22:02:59.671932","wrong","pattern","2020-02-16 10:30:25.162097","Mr","deep","Kartu Kredit","prove","fine","government","story","3268762","difficult","2023-03-23","visit","68819162","Staff","simple","instead","86895367","democratic","trial","listen","94265","Sea industry worry wear full have within all language.","Email","off","spend","such","much","471-372-0548","2023-06-12","sport","maybe","high","performance","difference","sharon40","Met","Return","rule","if","50941610","similar","Dustin Wagner","same","activity","32815235","forward","quality","Update Status New","(822)571-8311","michael29@example.org","Call","fpeters","Angel Washington","jessica24","86827479","should","play","name","large"
"recent","2022-04-28 13:07:46.036599","Assign to Support","90471051","case","name","Michael Collins","education","young","8768808","ask","25198","21315","2022-04-20","institution","2022-04-12","matter","50920","2023-11-18","Receive identify both third imagine sound.","jamesmyers@example.net","lopezlindsay@example.org","christopherjames@example.org","nbrown@example.org","2023-12-17","develop","north","967 Murphy Motorway Apt. 844
New Danielchester, UT 93396","2022-10-16","Webchat","late","2021-10-10 02:29:29.321117","language","building","2022-12-09 20:50:32.303278","cost","about","Banking","place","politics","specific","total","53854349","response","2022-08-02","clear","73704243","Unit Kerja","provide","position","61936380","range","sort","knowledge","32825","Hard message single member push policy can than.","Email","popular","thank","business","by","326-678-6038","2022-07-11","magazine","seek","already","military","reveal","joseph62","Missed","New","church","anyone","40737802","day","Christine Webb","picture","style","40001695","drug","Mr","Kembali ke Submitter","251.427.7188x182","nathan42@example.com","Call","melissafry","Bryan Jordan","trice","17374965","heart","through","the","their"
"southern","2023-05-28 06:31:59.928704","Agent Sosmed 1","20710751","figure","since","Jennifer Riggs","new","choice","91225352","democratic","78995","79065","2022-12-20","forget","2022-05-11","energy","44915","2023-10-17","Safe bring among son can hear matter early get position difference.","john16@example.net","millerjillian@example.com","rogerhughes@example.net","cindy48@example.org","2022-12-03","could","color","19983 Harris Island
South Mikeshire, KS 36061","2024-03-07","Ombudsman","finally","2021-07-04 16:55:34.559330","agent","middle","2023-01-26 01:43:00.800514","even","significant","Banking","knowledge","turn","man","theory","74724445","it","2023-07-16","style","70815983","Admin BRICare","say","general","59490746","fear","hold","raise","89689","Herself Mrs exist day life power room in lot.","Email","else","own","hit","point","299.690.5832x322","2023-10-11","body","discover","group","its","view","john64","In Progress","New","whole","year","92559068","quality","Rachel Osborne","news","across","25285641","call","recent","Update Nomor Kartu","546.619.7421x1894","millerdavid@example.org","Non call","harveymatthew","Sarah Sutton","megan38","63215492","government","yard","likely","data"
"act","2021-04-30 15:10:49.544736","Nama Pekerja + PN dari tiap GIC (User Group)","91621526","so","create","Cameron Snyder","many","tough","51607571","worker","64976","15145","2023-05-30","decision","2023-12-24","church","29153","2024-03-08","Police have great Congress though two himself after foot between relate.","hugheschad@example.com","andreamckee@example.net","curtisbrian@example.net","bradysmith@example.com","2023-02-26","hotel","trip","3144 David Port
North Michelleside, NE 94958","2024-02-17","MMS","today","2021-09-15 13:32:36.497252","price","detail","2021-02-21 06:05:21.174386","ready","lot","Banking","window","oil","drive","pass","7818772","interview","2022-04-06","live","15933666","Unit Kerja","accept","just","89035738","southern","factor","thus","69140","Instead amount down case hot act side wish today box three lawyer all.","Email","support","dinner","task","book","(737)305-9029x3761","2023-10-12","cold","leader","Republican","sometimes","western","christopherbaker","In Progress","Cancel","air","increase","55887209","too","Dennis Roberts","coach","positive","97640188","whole","receive","Update Status In Progress","752.407.5692","haileymosley@example.net","Call","joyce46","Rick Dickson","sharon64","88067499","approach","street","force","act"
"level","2020-12-22 08:53:16.651782","Nama Pekerja + PN dari tiap GIC (User Group)","63175613","position","drive","Morgan Boyd","responsibility","central","47335410","great","71537","76475","2022-08-12","store","2023-01-01","free","66614","2023-09-14","Expect reflect sit entire claim machine.","hklein@example.net","jacksonpaul@example.com","rebecca73@example.com","jonathanbaker@example.net","2022-06-02","base","hope","08508 Ford Orchard Apt. 597
East Richardtown, WV 05570","2022-11-12","Pesan IB","travel","2020-01-11 17:52:18.234188","while","popular","2022-04-21 04:51:12.570699","many","stage","Kartu Kredit","design","through","natural","month","36219852","instead","2022-05-24","reach","62912376","Wakabag","population","stock","49623569","arm","listen","election","21567","Outside political but teacher hard newspaper base world cause.","Email","require","program","attention","stage","8804614063","2022-07-01","follow","whom","according","bring","card","john89","Missed","Closed","win","red","63711442","life","Daniel Galvan","doctor","author","95497008","six","wide","Update Status New","297-263-1805","deborahbenson@example.net","Non call","nreyes","Keith Lara","reynoldsanthony","6450984","call","possible","store","stock"
"trouble","2022-05-10 21:15:52.342017","Assign to Support","22582110","second","necessary","Cathy Schultz","national","send","72217965","toward","3034","68996","2022-08-13","position","2023-08-13","wife","67485","2022-04-21","International Mrs win if one whether travel audience vote.","christinemiller@example.org","markbender@example.com","heathkari@example.org","alec85@example.com","2023-09-28","activity","north","61360 Christian Mountain Suite 291
South Susantown, IA 15224","2023-07-12","facebook","student","2023-06-16 14:29:59.953944","stage","improve","2021-09-24 08:23:03.343136","if","film","Kartu Kredit","strategy","interesting","article","light","93348559","store","2022-05-16","speak","55057230","Agent","every","reason","54474392","billion","during","if","69552","Hotel room beat magazine help information become nice interview science can professor.","None","sign","bill","western","always","696.413.8765","2023-07-02","north","everyone","fill","animal","ask","alivingston","Met","Return","current","community","56945938","meeting","Sara Jacobs","language","dream","76603838","close","raise","Case Closed","450-665-5786x8103","acrawford@example.org","Call","natasha69","Molly Medina","tylerwalker","86181975","others","coach","reality","thought"
"father","2020-09-22 05:59:38.342479","Agent Sosmed 3","2222500","toward","type","Angela Jensen","expect","single","65631971","leave","77064","71490","2023-01-12","nearly","2023-06-16","not","13240","2023-04-09","Government possible environmental fire social administration.","carlos75@example.org","michellepowell@example.net","annaburnett@example.org","adkinstracy@example.net","2022-07-07","offer","late","332 Abigail Alley
Brianfort, NY 35758","2022-08-11","Lembaga Hukum Lainnya","continue","2024-01-02 21:00:49.304123","teach","how","2022-02-11 01:36:24.353893","attention","have","Banking","poor","address","understand","entire","71419152","enough","2024-01-28","table","95913010","Staff","why","class","99037463","specific","within","cultural","45691","Bar also turn town forget heart way source boy although campaign.","Email","newspaper","Mrs","today","event","001-679-784-3574x1193","2023-01-19","eight","night","garden","career","more","leonardadams","In Progress","Cancel","thousand","section","51651075","physical","Dana Jones","his","outside","40047838","vote","turn","Return Ticket From Submitter","(306)978-3175","amiller@example.org","Non call","robertferguson","Erik Zimmerman","eking","80849648","activity","others","movie","picture"
"weight","2020-05-13 09:07:23.447598","Agent Sosmed 3","2004617","yes","as","Amy Jackson","necessary","generation","37152215","star","10116","85791","2024-03-06","paper","2023-07-05","from","82870","2023-05-06","Next type first despite car economic card car.","paulli@example.net","andrewscheryl@example.org","joelee@example.com","fsmith@example.com","2024-01-22","participant","security","819 Allison Locks
Kathleenbury, FM 97090","2022-12-19","Webchat","local","2022-08-28 03:11:13.937512","size","from","2023-12-21 19:16:10.953294","again","garden","Banking","base","along","quickly","thing","3505853","pattern","2022-10-10","note","99963556","Admin BRICare","her","cost","8361821","find","because","hour","87285","Majority point occur kid create pressure fear guy mind data.","None","how","leg","contain","want","558.677.2160x60852","2024-03-08","into","subject","second","week","including","codyrogers","Missed","Return","create","represent","3092544","theory","Margaret Moreno","buy","door","71926185","mention","ok","Return Ticket","298-828-7832x0333","james76@example.org","Call","ywilliams","Jonathan Yu","jordanpaul","69539975","magazine","newspaper","despite","key"
"simple","2021-03-31 10:51:48.665551","Contact BRI","21330098","such","under","Brandon Estrada","serve","finally","79884698","begin","70771","67683","2023-12-03","nation","2022-08-27","long","63960","2022-10-08","Speak month compare little institution stage indicate watch create modern.","dwhite@example.org","donna82@example.com","osmith@example.com","michelle61@example.com","2022-10-09","shake","wind","5619 Cook Isle Suite 634
Lake Bradleychester, UT 20697","2023-03-08","Media Umum Lainya","north","2022-12-17 15:30:40.925821","cold","think","2021-06-28 16:43:13.669020","keep","wonder","Banking","Mr","energy","know","study","80753956","special","2022-05-27","up","98831666","Admin BRICare","popular","another","42689570","commercial","current","hand","15561","Final move what realize difficult throughout garden central write production different.","None","serious","pressure","concern","significant","632-745-3812","2024-03-08","break","adult","personal","share","station","ralph30","In Progress","Not Used","behind","statement","11561712","benefit","Gregory Branch","develop","present","40626778","price","list","Update Nomor rekening","001-666-549-1875x7660","john99@example.org","Call","spotter","Nicholas Odonnell","melissapatterson","88512235","condition","source","have","believe"
"project","2020-03-19 02:42:04.387379","Assign to Support","49653015","same","yourself","Darryl Davis","data","every","48326089","future","10573","52193","2022-07-15","none","2023-09-02","all","66742","2023-10-05","Allow once reason about suggest with great time watch situation.","susanrojas@example.net","preston75@example.net","nguyenheather@example.net","lisalopez@example.net","2022-12-18","term","third","5480 Saunders Forks Apt. 905
West Elizabethton, MP 58222","2023-12-13","EDC & BRILink","land","2022-11-22 04:39:45.106814","fund","design","2020-04-29 22:48:56.525308","cut","pretty","Banking","room","such","at","relationship","94354092","price","2024-01-09","drug","57531400","Team Leader","west","commercial","85171945","southern","my","great","4008","Lawyer stuff away why everyone law protect various better.","Email","vote","dark","something","or","(562)267-9438","2023-10-20","east","two","paper","run","hot","wangjennifer","Met","Closed","play","air","36084020","late","Ana Hall","run","young","92023840","summer","box","Update Status In Progress","575.595.6080x9652","mariecervantes@example.org","Call","sierra37","Michael Nelson","montoyatimothy","62469236","lot","million","central","save"
"somebody","2022-07-02 13:37:44.853809","Agent Sosmed 1","33717483","test","likely","Sarah Wright","hot","product","77134072","be","66390","34366","2023-08-29","official","2022-04-07","visit","10302","2022-08-01","Not show response collection matter television discussion identify approach.","edalton@example.org","yolanda38@example.net","anthonyklein@example.net","jonathan79@example.com","2024-03-05","beyond","contain","6946 Taylor Route
New Tylermouth, MA 70979","2022-08-21","Media Umum Lainya","common","2023-07-26 14:06:31.874197","play","take","2021-09-17 21:21:51.767784","address","above","Banking","region","young","building","go","64597369","six","2024-03-19","consumer","9967648","Staff","cause","feeling","11775882","business","fall","evidence","31716","Wrong alone happen main bit section yes need yourself require long the fish.","None","wish","mind","eight","value","001-636-667-0177x594","2023-08-18","leg","performance","art","population","bill","opeterson","Met","New","together","now","47468559","check","Jeffrey Jordan","avoid","marriage","76404079","TV","add","Escalation Ticket Double","(702)704-9141x6903","blackkyle@example.com","Call","paynepeter","Julie Castaneda","ryan35","25948913","lawyer","develop","form","long"
"name","2022-02-26 21:52:43.034147","Agent Sosmed 5","75004281","wait","physical","Tammy Wagner","dark","religious","49583314","trip","49559","33646","2022-06-13","fast","2024-02-04","city","53830","2022-12-19","Power sure gas argue small arrive provide.","alan65@example.org","smithdavid@example.net","lee36@example.com","vcook@example.net","2023-01-22","represent","collection","6852 Rocha Centers Suite 619
North Juanfort, AS 25601","2023-07-22","Media Konsumen","common","2021-12-08 06:45:35.777187","sense","without","2023-02-20 12:54:13.670432","subject","scientist","Banking","paper","billion","buy","dog","54179976","cold","2023-07-22","great","26891741","Kabag","brother","woman","68685454","important","inside","phone","1633","Research wear we blood economic draw.","None","ever","area","position","radio","3943927653","2022-03-29","house","sit","low","year","table","lmartin","Met","New","data","appear","32658850","color","David Hamilton","skin","place","35639649","national","sometimes","Case Closed Settlement","328.689.6207","edward45@example.net","Non call","aaron60","Lauren Mills","anthonynavarro","90839685","score","measure","later","five"
"carry","2021-10-22 05:40:02.840376","Agent Sosmed 3","75949740","glass","cold","Megan Mason","strong","participant","92752430","education","51825","71141","2022-12-05","effort","2022-07-28","defense","36256","2022-05-11","By nature store rather employee tell.","ashleynovak@example.org","thomasjohnny@example.net","kerry04@example.org","evanschristina@example.org","2024-02-24","general","ready","069 April Throughway
North Rita, MN 09145","2023-04-28","OJK","say","2022-01-13 07:45:34.849304","operation","certainly","2022-05-31 20:29:56.872530","thank","if","Banking","strategy","you","reach","right","51794643","look","2022-11-04","care","38474738","Kabag","stop","benefit","70575121","race","mission","believe","33058","These Mrs truth explain few oil piece.","None","nice","decade","morning","particularly","(564)432-0920","2023-09-09","project","cold","long","bag","effect","masonjoseph","Met","Closed","matter","discover","22843051","financial","Adam Walton","enough","plan","4604704","success","whole","Case Closed","(819)607-1227","carolberry@example.net","Non call","nbaker","Rebecca Burch","newtondaniel","74478406","person","such","city","society"
"soon","2020-10-04 08:33:33.011147","Agent Sosmed 5","18634547","risk","open","Michael Jones","look","father","45140714","member","88708","22540","2023-06-21","choice","2022-06-30","say","36934","2023-09-23","Article idea visit sister decade recognize free course police foot.","cgonzales@example.com","davidhamilton@example.net","cpowell@example.org","schmidtaaron@example.org","2022-08-04","your","take","84409 Ramirez Crest
West Dustinborough, NE 12039","2023-04-22","Video Banking","state","2024-03-09 11:42:29.885008","end","while","2023-10-19 09:42:41.135214","investment","assume","Kartu Kredit","experience","fear","participant","develop","4271473","health","2023-07-21","parent","46459031","Kabag","already","pattern","69527287","country","team","she","58534","It song interview product develop she.","Email","series","something","talk","send","897.728.5756","2023-08-06","leg","road","care","training","fast","jessicamitchell","Missed","Not Used","step","think","73968764","expect","John Holloway","where","government","41900540","product","state","Update Nama","+1-568-646-6994x29993","jonestiffany@example.net","Call","baldwinmichelle","Kevin Webster","nphillips","18921364","fill","soon","upon","process"
"nature","2020-09-25 20:16:54.614601","Nama Pekerja + PN dari tiap GIC (User Group)","88773785","skill","sometimes","Steven Howell","gun","believe","24592028","million","91172","33999","2023-09-05","produce","2022-09-05","wait","5560","2023-08-11","Seat film onto interview source fall sign billion than common little car whole.","cperry@example.com","stevenschristina@example.org","victoralvarado@example.org","kochbrian@example.net","2022-10-07","mean","main","196 Haynes Oval Suite 773
East George, OH 09362","2022-06-21","Instagram","really","2020-06-19 06:51:25.302176","if","fall","2021-10-24 06:53:37.577222","record","above","Banking","if","foreign","recent","daughter","935319","there","2023-07-27","beautiful","56472843","Admin BRICare","set","nearly","77423021","agree","maintain","market","90209","Middle voice risk he four option like make item.","None","player","rise","south","hundred","(443)947-1683x7634","2023-09-17","poor","cut","sound","have","prepare","ortizchristina","Met","Closed","my","main","39785282","box","Jonathan Joyce","still","development","56477391","back","soldier","Update Status In Progress","+1-872-361-4077x0654","jason54@example.net","Non call","mariemiller","Stephen Jones","rachel99","38619196","thing","there","result","contain"
