"Product","Record Type","Account Number","Interest Rate","Loan Term(months)","Branch Code","Household"
"Personal Loan","Closed","262594053668597","0.6000000000000001","36","B044","Low Income"
"Checking Account","Servicing","956512984945206","0.6000000000000001","12","B052","Low Income"
"Checking Account","Servicing","936979948780315","0.7000000000000001","60","B059","Low Income"
"Savings Account","Servicing","894613884739661","0.6000000000000001","48","B083","Secondary"
"Checking Account","Closed","735908576979855","0.5","48","B097","Low Income"
"Mortgage","New Application","559499226549079","0.2","24","B007","Primary"
"Checking Account","New Application","700511742253289","0.6000000000000001","84","B089","Secondary"
"Personal Loan","New Application","918375994423153","1.0","12","B026","Middle Income"
"Mortgage","New Application","560042121632254","0.7000000000000001","24","B087","Primary"
"Mortgage","Servicing","128537994301843","0.30000000000000004","12","B073","High Income"
"Checking Account","Servicing","618920560986680","0.4","48","B007","High Income"
"Savings Account","Closed","556601658869836","0.9","60","B020","Middle Income"
"Personal Loan","Servicing","712804171962105","0.8","24","B095","High Income"
"Checking Account","Servicing","800395265285628","0.30000000000000004","72","B020","Middle Income"
"Checking Account","Servicing","357366855348725","0.30000000000000004","60","B065","High Income"
"Savings Account","New Application","165954286193613","1.0","12","B014","Low Income"
"Savings Account","Servicing","306785442729071","0.5","84","B001","High Income"
"Savings Account","Servicing","520081533295820","1.0","24","B091","Primary"
"Personal Loan","New Application","673008130989405","0.6000000000000001","84","B020","Primary"
"Mortgage","Closed","082045242170802","0.1","48","B039","Low Income"
"Personal Loan","Servicing","371626693194687","0.1","48","B044","Low Income"
"Mortgage","New Application","578658988091201","0.2","36","B089","Middle Income"
"Mortgage","Servicing","024517910252078","0.9","24","B026","Primary"
"Savings Account","Closed","662663011160223","0.30000000000000004","60","B058","Low Income"
"Mortgage","Closed","912588960741634","0.4","72","B074","Primary"
"Savings Account","New Application","455941825042282","0.7000000000000001","60","B045","High Income"
"Mortgage","Closed","961713331394172","1.0","12","B005","Middle Income"
"Mortgage","New Application","575394131713223","0.5","36","B039","Low Income"
"Mortgage","Servicing","348556051489289","0.9","84","B023","Primary"
"Savings Account","Servicing","743462057980524","0.30000000000000004","36","B057","Secondary"
"Mortgage","Servicing","391790554330677","0.2","36","B099","Primary"
"Personal Loan","Closed","284305358951361","0.9","60","B099","Primary"
"Mortgage","Closed","639976021191036","0.4","72","B048","Secondary"
"Personal Loan","Closed","979278032829879","1.0","12","B007","Middle Income"
"Checking Account","New Application","299532601744184","0.9","36","B039","Middle Income"
"Savings Account","Closed","281543106216611","0.8","48","B013","High Income"
"Personal Loan","Servicing","403329845443181","0.9","48","B076","Primary"
"Checking Account","Servicing","994802997629401","0.6000000000000001","24","B073","High Income"
"Mortgage","Servicing","873935125003103","1.0","24","B010","High Income"
"Checking Account","Closed","090208185251788","0.8","72","B084","Middle Income"
"Checking Account","Closed","660013740781766","0.1","12","B067","Primary"
"Personal Loan","Servicing","022020945097463","1.0","24","B089","Secondary"
"Mortgage","Servicing","166229127884333","1.0","36","B098","Middle Income"
"Personal Loan","New Application","414587961259657","0.5","84","B027","High Income"
"Checking Account","New Application","826736775962198","0.2","84","B053","Primary"
"Checking Account","Closed","688556099366024","0.5","12","B013","Middle Income"
"Mortgage","Servicing","876603793155440","0.9","72","B065","Middle Income"
"Savings Account","Servicing","143393709721049","0.8","24","B056","Low Income"
"Personal Loan","Closed","159298205902632","0.9","48","B086","Middle Income"
"Checking Account","Closed","496089544826855","0.2","60","B017","Primary"
"Personal Loan","New Application","676978961987018","0.5","36","B085","Secondary"
"Savings Account","Servicing","220022669652365","0.9","60","B028","Secondary"
"Personal Loan","New Application","495708072495816","0.2","48","B023","Low Income"
"Personal Loan","New Application","935742093850712","0.7000000000000001","36","B002","Middle Income"
"Mortgage","Servicing","728370748815083","0.4","36","B062","Primary"
"Mortgage","Servicing","978019924681420","0.7000000000000001","84","B007","Secondary"
"Mortgage","Closed","702989399803657","0.7000000000000001","36","B017","Middle Income"
"Savings Account","Servicing","118388506339623","0.7000000000000001","12","B075","High Income"
"Savings Account","Closed","665211975528750","0.2","36","B035","Secondary"
"Checking Account","New Application","361208595351118","0.5","48","B041","Primary"
"Personal Loan","Closed","453237205800295","0.7000000000000001","48","B066","Secondary"
"Personal Loan","New Application","239314157430434","0.8","72","B078","High Income"
"Savings Account","Closed","846012619836224","0.8","12","B085","Middle Income"
"Mortgage","New Application","037655031355739","0.9","84","B037","Secondary"
"Savings Account","New Application","130446045500568","0.30000000000000004","36","B066","Middle Income"
"Savings Account","Closed","345872264692390","0.1","60","B069","Middle Income"
"Mortgage","Servicing","685227212904389","0.30000000000000004","60","B090","Secondary"
"Mortgage","Closed","712293157067485","1.0","72","B029","Primary"
"Personal Loan","New Application","335992637843326","0.30000000000000004","36","B046","Secondary"
"Savings Account","Closed","406430758652161","0.5","12","B055","Secondary"
"Checking Account","Servicing","960119540956958","0.30000000000000004","84","B067","Primary"
"Savings Account","New Application","401011814280370","0.8","12","B024","Middle Income"
"Checking Account","Servicing","077576889539601","0.8","12","B064","Low Income"
"Personal Loan","Closed","261557074512598","0.8","12","B088","High Income"
"Checking Account","Closed","817615533155894","1.0","24","B002","Secondary"
"Savings Account","Servicing","296289526926883","1.0","48","B028","Middle Income"
"Checking Account","Closed","061301552164561","0.7000000000000001","12","B043","Primary"
"Personal Loan","Closed","944207408744283","0.6000000000000001","12","B075","Secondary"
"Checking Account","New Application","752591860376282","0.4","84","B061","Primary"
"Savings Account","Closed","493628423903785","0.4","60","B018","Primary"
"Mortgage","Servicing","988678124168661","0.5","12","B040","Low Income"
"Personal Loan","Closed","060075464721887","0.7000000000000001","60","B097","Middle Income"
"Checking Account","New Application","348925267295704","0.8","72","B089","Low Income"
"Mortgage","Servicing","859531818358942","0.8","36","B029","Primary"
"Savings Account","Closed","550647058016286","1.0","24","B100","High Income"
"Checking Account","New Application","479696997113924","0.4","12","B075","Low Income"
"Savings Account","Closed","959882986632175","0.7000000000000001","84","B010","High Income"
"Checking Account","Servicing","041023904802545","1.0","60","B058","High Income"
"Mortgage","Closed","596726219841232","0.9","60","B088","Middle Income"
"Checking Account","Closed","778413156874440","0.30000000000000004","72","B095","Primary"
"Savings Account","New Application","962616239503086","0.30000000000000004","24","B031","Middle Income"
"Personal Loan","New Application","105122390394678","0.5","36","B083","Low Income"
"Mortgage","New Application","000091098183433","0.4","72","B076","Low Income"
"Mortgage","Closed","969279494031356","1.0","36","B097","Middle Income"
"Personal Loan","Closed","916331501044288","0.5","24","B076","Middle Income"
"Personal Loan","Closed","791936216594289","0.4","72","B080","High Income"
"Savings Account","Closed","962306161489878","0.4","60","B003","High Income"
"Personal Loan","Servicing","977136229637776","0.2","72","B076","Middle Income"
"Checking Account","New Application","696300227076058","0.5","72","B097","Middle Income"
"Personal Loan","Servicing","540026060392890","0.2","24","B032","High Income"
"Checking Account","New Application","573530523953184","0.5","60","B077","Secondary"
"Checking Account","Servicing","246060784075442","0.9","48","B071","High Income"
"Personal Loan","Servicing","140967587660971","1.0","60","B086","Secondary"
"Checking Account","Servicing","175956383179724","0.6000000000000001","12","B002","Secondary"
"Savings Account","Closed","887808951316362","0.1","12","B095","Secondary"
"Mortgage","New Application","987241292333333","0.4","72","B077","Low Income"
"Personal Loan","Closed","669780631073291","0.8","72","B076","Low Income"
"Personal Loan","Closed","679526877848154","0.6000000000000001","12","B036","Low Income"
"Mortgage","New Application","677689535055899","0.2","60","B019","High Income"
"Personal Loan","Closed","468329047346087","0.2","72","B084","Primary"
"Mortgage","Closed","363103989668083","0.9","24","B026","Primary"
"Checking Account","New Application","446549040863903","0.4","12","B085","Middle Income"
"Personal Loan","New Application","502921455359585","0.8","48","B077","Low Income"
"Checking Account","Servicing","428420668396124","1.0","36","B019","High Income"
"Checking Account","New Application","679978939308925","0.1","24","B076","Primary"
"Personal Loan","Closed","097427404976387","0.30000000000000004","72","B039","High Income"
"Savings Account","New Application","726620305165019","0.7000000000000001","24","B058","Primary"
"Personal Loan","Closed","054254628501865","0.5","36","B082","High Income"
"Savings Account","Closed","741986907373762","0.7000000000000001","24","B100","Primary"
"Savings Account","Closed","495117056218190","0.30000000000000004","84","B097","Middle Income"
"Mortgage","Servicing","290521058923489","0.9","84","B069","Low Income"
"Mortgage","New Application","803503056745233","0.30000000000000004","72","B097","Primary"
"Mortgage","Closed","052623300371749","0.6000000000000001","84","B006","Low Income"
"Personal Loan","Closed","929190471364612","0.4","72","B070","Secondary"
"Checking Account","Servicing","097116285217901","0.4","72","B082","Primary"
"Checking Account","Closed","560943958575724","0.8","48","B054","Secondary"
"Savings Account","New Application","668562419726068","0.7000000000000001","48","B029","High Income"
"Checking Account","Servicing","564892030185305","0.6000000000000001","84","B060","Low Income"
"Mortgage","Closed","891125854192549","0.6000000000000001","72","B043","Secondary"
"Mortgage","Servicing","116494230118833","0.4","24","B044","Primary"
"Mortgage","Servicing","623354359013522","0.9","48","B095","Primary"
"Personal Loan","New Application","520845779791336","1.0","48","B075","Middle Income"
"Mortgage","Servicing","926030390146607","0.2","84","B098","Secondary"
"Personal Loan","Closed","755534062741258","0.7000000000000001","48","B071","Low Income"
"Checking Account","Servicing","597529265090587","0.30000000000000004","36","B023","Low Income"
"Personal Loan","New Application","985980946517222","1.0","84","B031","Secondary"
"Savings Account","New Application","957666997909378","0.4","24","B064","High Income"
"Savings Account","Servicing","306659836455297","0.5","48","B042","Low Income"
"Personal Loan","Servicing","723079889228674","0.30000000000000004","48","B062","High Income"
"Mortgage","Closed","121812685705394","0.7000000000000001","84","B080","Low Income"
"Checking Account","Closed","314834189447133","0.6000000000000001","36","B044","High Income"
"Savings Account","Servicing","212575055121695","0.4","60","B017","High Income"
"Savings Account","Servicing","607847500980306","0.4","84","B059","Primary"
"Mortgage","Servicing","880367587429294","0.5","60","B090","Low Income"
"Mortgage","Closed","973398487580704","0.8","60","B090","Middle Income"
"Checking Account","Servicing","542057968001269","0.8","60","B092","Middle Income"
"Savings Account","Servicing","165584603967593","0.1","24","B088","Primary"
"Checking Account","Servicing","849391474039806","0.4","60","B031","Low Income"
"Mortgage","Closed","771145148811453","0.8","72","B056","Primary"
"Savings Account","Closed","664254866652855","0.1","84","B031","Middle Income"
"Savings Account","Closed","774431182018439","0.5","12","B094","Middle Income"
"Personal Loan","New Application","659974699106536","0.8","84","B048","Primary"
"Savings Account","Servicing","588117817401236","0.1","84","B077","Secondary"
"Savings Account","Closed","686196927326751","0.9","48","B057","High Income"
"Mortgage","Servicing","812947609763383","0.9","36","B047","Middle Income"
"Personal Loan","Servicing","893194711629680","0.30000000000000004","60","B073","Primary"
"Mortgage","Servicing","298648009702504","0.8","36","B009","Middle Income"
"Mortgage","Servicing","170802626859609","0.6000000000000001","24","B049","Middle Income"
"Mortgage","Servicing","950642898966962","0.2","60","B042","Low Income"
"Checking Account","Closed","818070784873416","0.8","48","B028","Low Income"
"Mortgage","New Application","376428749402786","0.5","48","B089","Low Income"
"Mortgage","New Application","060636389180070","0.4","48","B020","Middle Income"
"Personal Loan","Servicing","864249362930869","0.8","36","B067","Primary"
"Savings Account","New Application","606254937222956","1.0","72","B032","Secondary"
"Savings Account","New Application","384933074421058","0.4","24","B067","Middle Income"
"Mortgage","New Application","220654447743074","1.0","36","B075","Primary"
"Savings Account","Servicing","835630826387542","0.8","72","B060","Secondary"
"Savings Account","Closed","617693073856306","0.1","12","B048","Low Income"
"Personal Loan","Closed","332032918694633","1.0","72","B006","Secondary"
"Personal Loan","Servicing","174926544892979","0.1","72","B042","High Income"
"Savings Account","Closed","738543885405523","0.4","24","B047","Low Income"
"Savings Account","Servicing","593520519932858","1.0","48","B055","Low Income"
"Mortgage","New Application","914230505700983","0.9","60","B085","Primary"
"Savings Account","New Application","307451262207329","0.7000000000000001","60","B004","Primary"
"Checking Account","Closed","391551950943389","0.9","72","B046","Primary"
"Savings Account","New Application","440733674470461","0.4","36","B051","Secondary"
"Checking Account","Servicing","488873922295633","0.9","60","B005","Middle Income"
"Savings Account","Closed","515126758938708","0.9","24","B096","Low Income"
"Personal Loan","New Application","768573011615867","0.2","72","B029","Middle Income"
"Savings Account","Closed","918335564591118","0.5","60","B025","High Income"
"Personal Loan","Servicing","040815107985236","0.1","72","B054","Primary"
"Mortgage","Servicing","244296370298103","0.4","84","B019","Secondary"
"Mortgage","New Application","858033586480579","0.30000000000000004","48","B082","Primary"
"Savings Account","New Application","333654462046135","1.0","36","B096","Low Income"
"Mortgage","Closed","073346005677495","0.2","60","B033","Low Income"
"Savings Account","New Application","078809682411172","0.9","12","B094","Middle Income"
"Savings Account","New Application","268617206304789","0.1","36","B040","High Income"
"Checking Account","New Application","292496605168403","0.7000000000000001","24","B072","High Income"
"Personal Loan","Closed","801848016256196","1.0","84","B087","Primary"
"Checking Account","Servicing","677396013128596","0.2","60","B084","Middle Income"
"Mortgage","Servicing","342840496608116","0.8","84","B011","Middle Income"
"Personal Loan","New Application","899185668507557","0.6000000000000001","36","B099","Middle Income"
"Personal Loan","Closed","709715778115326","0.9","24","B036","Primary"
"Mortgage","Closed","784793604221514","0.6000000000000001","48","B089","Middle Income"
"Savings Account","New Application","955396199751503","0.8","48","B052","High Income"
"Personal Loan","Servicing","495407674188703","0.9","12","B019","High Income"
"Personal Loan","New Application","284450489853525","0.30000000000000004","84","B061","Middle Income"
"Mortgage","Closed","106071673565550","0.8","48","B090","Primary"
"Checking Account","New Application","583568801623624","0.30000000000000004","36","B005","Middle Income"
"Savings Account","New Application","894116664469531","0.30000000000000004","84","B043","Primary"
"Checking Account","New Application","624219142692630","0.1","36","B071","Primary"
"Checking Account","Closed","606525609049723","0.2","48","B093","Middle Income"
"Personal Loan","Servicing","349849035075816","0.8","84","B086","Secondary"
"Checking Account","New Application","285759622019902","1.0","36","B048","Primary"
"Mortgage","Servicing","813707310334536","0.6000000000000001","36","B017","Middle Income"
"Checking Account","New Application","991680217269545","0.6000000000000001","72","B019","High Income"
"Mortgage","Servicing","200076539773413","0.9","48","B043","High Income"
"Checking Account","New Application","929685520565071","0.30000000000000004","48","B069","Middle Income"
"Checking Account","New Application","702219290377653","0.7000000000000001","84","B082","Primary"
"Checking Account","Closed","326473038610554","0.6000000000000001","72","B049","Middle Income"
"Checking Account","Closed","626200119500553","0.5","60","B068","Secondary"
"Personal Loan","New Application","609722575251693","0.7000000000000001","72","B022","High Income"
"Savings Account","Closed","311557065544296","0.4","48","B044","Middle Income"
"Savings Account","Closed","131123720925085","0.8","60","B085","Low Income"
"Checking Account","Closed","098466734604859","0.9","24","B015","High Income"
"Checking Account","Servicing","429200041410539","0.6000000000000001","60","B007","Primary"
"Savings Account","Closed","743955103813674","0.1","36","B097","Secondary"
"Mortgage","New Application","464687249848118","0.9","72","B011","Secondary"
"Personal Loan","Closed","792801104344212","0.7000000000000001","48","B042","Secondary"
"Savings Account","Servicing","024672475468433","0.8","84","B041","High Income"
"Checking Account","Closed","885293772250649","0.30000000000000004","24","B098","High Income"
"Personal Loan","New Application","635652886690936","0.7000000000000001","84","B050","Middle Income"
"Personal Loan","Closed","582021445212867","0.7000000000000001","12","B037","Secondary"
"Checking Account","Closed","149107705659166","0.4","24","B056","Secondary"
"Checking Account","New Application","987273490325752","0.9","24","B059","Primary"
"Savings Account","Closed","559044970006215","0.1","72","B019","Low Income"
"Mortgage","Closed","835305196120376","0.5","24","B069","Middle Income"
"Checking Account","Closed","469616361604530","0.6000000000000001","60","B085","High Income"
"Savings Account","Servicing","341495417999799","0.5","12","B005","Primary"
"Personal Loan","Servicing","845084190727568","0.30000000000000004","36","B018","Low Income"
"Personal Loan","Servicing","301447722864678","0.30000000000000004","60","B067","Low Income"
"Savings Account","New Application","285186547775263","0.5","60","B022","Primary"
"Personal Loan","New Application","550541719078217","0.9","60","B078","Low Income"
"Personal Loan","New Application","964124874342003","0.30000000000000004","72","B031","Secondary"
"Personal Loan","Closed","984057337579273","0.6000000000000001","36","B003","Middle Income"
"Personal Loan","Closed","809353836572768","0.4","72","B084","Low Income"
"Savings Account","New Application","732856168325165","0.7000000000000001","12","B015","Primary"
"Checking Account","New Application","007162940286328","0.6000000000000001","12","B074","Secondary"
"Savings Account","Servicing","929567095044015","0.30000000000000004","24","B045","Low Income"
"Checking Account","New Application","276026484369529","0.5","72","B061","High Income"
"Checking Account","New Application","524335303614248","0.5","60","B095","Middle Income"
"Mortgage","New Application","907353047623539","0.1","60","B009","Primary"
"Checking Account","New Application","756051691683567","0.30000000000000004","60","B039","Secondary"
"Checking Account","Servicing","506669902458963","0.5","72","B010","Primary"
"Savings Account","Servicing","948295566480187","0.6000000000000001","84","B007","Middle Income"
"Personal Loan","New Application","271678872475515","0.30000000000000004","36","B029","Primary"
"Mortgage","New Application","586792123965646","0.7000000000000001","60","B100","Middle Income"
"Mortgage","Servicing","406809708155571","0.5","36","B072","Middle Income"
"Personal Loan","Servicing","931743462305871","0.8","48","B022","Low Income"
"Personal Loan","Closed","330892760418747","0.30000000000000004","12","B069","Low Income"
"Personal Loan","Closed","935480904120754","1.0","36","B072","Low Income"
"Checking Account","Servicing","523279793741213","0.7000000000000001","24","B010","Primary"
"Savings Account","Closed","438448438679722","1.0","12","B025","Low Income"
"Checking Account","New Application","231208536390620","0.6000000000000001","36","B083","Low Income"
"Checking Account","Closed","121920153549173","0.9","36","B072","High Income"
"Personal Loan","Closed","220476819546052","0.6000000000000001","12","B017","Primary"
"Savings Account","Servicing","057273605654814","0.8","84","B010","Secondary"
"Personal Loan","New Application","356515333391729","0.7000000000000001","60","B075","Middle Income"
"Mortgage","Closed","194229750943982","0.7000000000000001","12","B007","Middle Income"
"Personal Loan","Servicing","901908321624906","0.9","24","B023","Low Income"
"Mortgage","Closed","750296742741597","0.30000000000000004","12","B087","Low Income"
"Personal Loan","Closed","780924598236099","0.2","72","B090","High Income"
"Personal Loan","Servicing","577985927240935","0.9","36","B029","Middle Income"
"Mortgage","New Application","230356143743813","0.9","84","B026","Secondary"
"Mortgage","Closed","782941283861775","0.7000000000000001","12","B011","High Income"
"Checking Account","New Application","930329926070512","0.2","84","B016","Middle Income"
"Savings Account","Closed","789171656488782","0.6000000000000001","84","B003","Primary"
"Personal Loan","New Application","017819573906896","0.2","84","B060","Middle Income"
"Mortgage","Servicing","927441875230754","0.30000000000000004","12","B076","High Income"
"Savings Account","Closed","645445792680923","0.4","72","B040","Middle Income"
"Mortgage","Servicing","046361759377874","0.30000000000000004","72","B068","Primary"
"Personal Loan","New Application","374701383636158","0.4","84","B099","Secondary"
"Mortgage","Closed","574097927089131","0.9","36","B048","Primary"
"Checking Account","New Application","722381948206840","0.4","60","B033","Low Income"
"Savings Account","Servicing","665870211983832","0.30000000000000004","84","B061","Primary"
"Personal Loan","Closed","147832598451602","0.2","84","B042","Low Income"
"Savings Account","Servicing","300941057632829","0.30000000000000004","24","B079","Primary"
"Savings Account","New Application","826724450309781","0.5","48","B079","High Income"
"Checking Account","Closed","512232144760449","0.6000000000000001","72","B004","Low Income"
"Checking Account","Servicing","111717418208457","0.5","48","B003","Primary"
"Mortgage","Closed","309930718267379","0.2","48","B095","Primary"
"Checking Account","New Application","592779822216799","1.0","84","B078","Middle Income"
"Checking Account","New Application","376054584212620","0.7000000000000001","72","B037","High Income"
"Personal Loan","Closed","514501039440045","0.30000000000000004","36","B037","Secondary"
"Personal Loan","New Application","304267600262437","0.2","84","B096","Middle Income"
"Checking Account","Servicing","924579707217008","0.5","36","B001","Low Income"
"Checking Account","Servicing","040113164043086","0.7000000000000001","48","B023","Middle Income"
"Mortgage","Servicing","943850318327085","0.1","84","B087","Low Income"
"Savings Account","Servicing","023977349505555","0.4","36","B005","Middle Income"
"Checking Account","Closed","661564891207838","0.9","36","B002","Primary"
"Personal Loan","Servicing","361529241710419","0.1","24","B077","Middle Income"
"Savings Account","New Application","360549168718708","1.0","72","B020","Primary"
"Personal Loan","New Application","956974855215822","0.7000000000000001","36","B089","Middle Income"
"Savings Account","Servicing","757282504259478","0.6000000000000001","60","B068","High Income"
"Savings Account","Servicing","959680251761809","0.4","36","B068","High Income"
"Personal Loan","Closed","858940639212727","0.8","48","B094","High Income"
"Savings Account","Servicing","684714941653172","1.0","12","B023","Secondary"
"Mortgage","Closed","143804816585918","0.8","60","B038","Middle Income"
"Mortgage","New Application","750267218634457","0.30000000000000004","72","B084","Primary"
"Checking Account","Closed","685333139743771","0.2","12","B006","Low Income"
"Savings Account","Servicing","490196408924719","0.9","72","B074","Secondary"
"Savings Account","Closed","769201613601299","0.6000000000000001","84","B064","Primary"
"Checking Account","New Application","074445334586524","0.4","24","B065","Secondary"
"Savings Account","Servicing","855614077947093","0.6000000000000001","84","B061","Middle Income"
"Savings Account","New Application","365143990810229","0.1","12","B080","Middle Income"
"Checking Account","Closed","950445759928890","0.9","12","B080","Secondary"
"Mortgage","Servicing","300718874381237","1.0","24","B060","Middle Income"
"Personal Loan","Closed","602932075397557","0.4","12","B054","Secondary"
"Personal Loan","New Application","172916381479094","0.6000000000000001","84","B040","Secondary"
"Savings Account","Servicing","693683523655102","0.6000000000000001","84","B056","Primary"
"Savings Account","New Application","193579648863399","0.1","12","B024","Low Income"
"Personal Loan","Closed","557598196787474","0.9","24","B055","High Income"
"Personal Loan","Servicing","315073035072517","0.1","36","B024","Low Income"
"Savings Account","New Application","785846310342276","0.8","72","B100","High Income"
"Savings Account","New Application","625457980501964","0.4","72","B027","Secondary"
"Personal Loan","Closed","926601847314030","0.2","48","B033","High Income"
"Savings Account","New Application","460487134535748","0.1","84","B016","Low Income"
"Mortgage","Servicing","541085773412381","0.7000000000000001","84","B063","High Income"
"Savings Account","Closed","343126340362202","0.6000000000000001","36","B008","High Income"
"Checking Account","New Application","933327069668640","0.30000000000000004","72","B060","Secondary"
"Personal Loan","Servicing","092162190927093","0.4","48","B025","High Income"
"Savings Account","Servicing","791496370300206","1.0","24","B049","High Income"
"Personal Loan","Closed","298669499921716","0.8","84","B001","Middle Income"
"Personal Loan","Servicing","122738156344993","0.9","60","B018","Primary"
"Mortgage","Closed","136907198846093","0.30000000000000004","36","B081","Low Income"
"Checking Account","Closed","229700792335553","1.0","12","B060","Primary"
"Savings Account","Closed","949315191725171","0.8","48","B080","High Income"
"Savings Account","Servicing","602640832275554","0.9","48","B019","Primary"
"Checking Account","Servicing","681399553795227","0.4","36","B063","High Income"
"Mortgage","Closed","836091203691885","0.4","12","B004","Primary"
"Savings Account","Closed","297084231788106","0.4","12","B038","Low Income"
"Personal Loan","Closed","380042444185222","0.5","24","B076","Low Income"
"Savings Account","New Application","131935850743632","0.1","12","B044","Secondary"
"Savings Account","Closed","437820303770150","0.5","60","B059","Secondary"
"Checking Account","New Application","381718443513743","0.6000000000000001","12","B008","Middle Income"
"Checking Account","Closed","377892063860326","0.7000000000000001","48","B076","High Income"
"Savings Account","Servicing","271904016616100","0.8","84","B047","Secondary"
"Personal Loan","Servicing","994987882225052","0.6000000000000001","36","B094","Primary"
"Savings Account","New Application","479301695181022","1.0","84","B040","Secondary"
"Savings Account","New Application","766834009264868","1.0","24","B081","Primary"
"Savings Account","New Application","459815188795325","0.2","36","B052","Low Income"
"Personal Loan","Closed","962232962027516","0.7000000000000001","84","B081","High Income"
"Personal Loan","Closed","809727237087699","0.9","48","B039","Middle Income"
"Personal Loan","Servicing","754643668155709","0.8","24","B096","High Income"
"Personal Loan","Closed","946760096608853","0.30000000000000004","48","B081","Middle Income"
"Mortgage","New Application","105752878252276","0.4","84","B082","High Income"
"Checking Account","New Application","441124186061766","0.5","84","B015","Low Income"
"Mortgage","Closed","179724133788063","0.30000000000000004","72","B085","Primary"
"Savings Account","New Application","881118706788184","0.6000000000000001","60","B017","Primary"
"Personal Loan","Servicing","932331452081332","0.30000000000000004","84","B052","Secondary"
"Mortgage","New Application","991706340994290","0.2","24","B065","Low Income"
"Savings Account","Servicing","417396525372116","0.5","24","B067","High Income"
"Checking Account","Closed","814856021991476","0.6000000000000001","84","B078","Low Income"
"Mortgage","Closed","808888726203064","0.4","36","B095","High Income"
"Mortgage","Servicing","166845402277494","0.4","48","B060","High Income"
"Savings Account","New Application","316535559062121","0.6000000000000001","48","B092","High Income"
"Mortgage","Servicing","721929276071076","0.9","36","B038","Secondary"
"Checking Account","Closed","859251372052169","0.30000000000000004","12","B035","Primary"
"Personal Loan","Servicing","512851516695218","0.7000000000000001","12","B070","High Income"
"Personal Loan","Closed","785198746606114","0.5","12","B015","Primary"
"Personal Loan","Closed","783224617131501","0.30000000000000004","84","B061","Primary"
"Mortgage","Servicing","879455069618060","0.8","72","B099","High Income"
"Checking Account","New Application","461962780189978","0.7000000000000001","72","B008","Low Income"
"Savings Account","New Application","510763119323561","0.5","60","B061","Low Income"
"Savings Account","Servicing","220171893865684","0.2","36","B046","Primary"
"Personal Loan","Servicing","495916752081346","0.30000000000000004","48","B098","Primary"
"Personal Loan","Servicing","706662302995731","0.7000000000000001","12","B023","Low Income"
"Savings Account","Closed","370786604699209","0.2","48","B017","Secondary"
"Savings Account","Closed","913493511618583","0.5","24","B063","Low Income"
"Checking Account","Servicing","423744910858651","0.2","24","B015","Low Income"
"Mortgage","Closed","833898456514927","0.30000000000000004","84","B004","Middle Income"
"Personal Loan","Servicing","798419544734725","0.8","24","B044","High Income"
"Mortgage","New Application","205244038151956","0.9","48","B099","Middle Income"
"Checking Account","New Application","101779726841478","0.8","84","B042","Secondary"
"Checking Account","New Application","837018781434615","1.0","72","B081","Middle Income"
"Checking Account","Closed","054095726017228","0.2","84","B091","Primary"
"Savings Account","Servicing","531020718722387","0.8","72","B073","High Income"
"Personal Loan","Servicing","089117137166882","0.9","72","B085","High Income"
"Checking Account","Servicing","038086964678586","0.30000000000000004","48","B060","Primary"
"Checking Account","Closed","238170347741583","0.9","36","B053","High Income"
"Mortgage","New Application","841698367395735","0.8","60","B054","Middle Income"
"Savings Account","Servicing","234173357110228","0.7000000000000001","60","B094","Low Income"
"Personal Loan","Servicing","460204903849814","0.9","48","B031","Low Income"
"Personal Loan","Servicing","756130291263376","0.30000000000000004","36","B009","Low Income"
"Checking Account","New Application","431415274600820","0.4","60","B054","High Income"
"Checking Account","Closed","634358067478192","0.4","84","B053","Secondary"
"Checking Account","Servicing","670403555333537","0.1","84","B027","High Income"
"Savings Account","New Application","413499319059060","0.30000000000000004","84","B083","Middle Income"
"Savings Account","New Application","261887858868573","1.0","36","B038","High Income"
"Savings Account","Servicing","897244011910959","0.5","24","B065","High Income"
"Mortgage","New Application","826953469549487","0.9","60","B094","Low Income"
"Personal Loan","Servicing","024675786941534","0.30000000000000004","36","B077","Middle Income"
"Mortgage","New Application","734574299811513","0.2","60","B005","Primary"
"Personal Loan","Closed","532343375374122","0.9","72","B013","Low Income"
"Mortgage","Servicing","509349424408984","0.8","72","B070","Primary"
"Mortgage","New Application","313909106478048","0.30000000000000004","36","B012","High Income"
"Mortgage","New Application","541826311410677","0.9","12","B034","High Income"
"Personal Loan","Closed","180186073552533","1.0","24","B005","Middle Income"
"Personal Loan","Servicing","475800874315664","0.9","72","B022","High Income"
"Mortgage","Closed","017311183325870","0.7000000000000001","72","B031","Middle Income"
"Personal Loan","New Application","025772804040343","0.2","72","B066","Low Income"
"Savings Account","Servicing","639043844366849","0.6000000000000001","12","B063","Low Income"
"Checking Account","Closed","259165291866370","0.2","84","B023","Primary"
"Savings Account","Servicing","352920515711924","0.7000000000000001","48","B057","Primary"
"Mortgage","Servicing","914804925027543","0.7000000000000001","48","B052","High Income"
"Personal Loan","New Application","088014356581213","0.4","12","B087","Low Income"
"Checking Account","New Application","136260215730956","0.4","72","B097","High Income"
"Personal Loan","Closed","614018880599832","1.0","48","B010","High Income"
"Personal Loan","Closed","664170434136759","0.30000000000000004","60","B056","Middle Income"
"Checking Account","Closed","872042231934792","0.8","12","B018","Primary"
